algo,k,n,cost,wall,cpu
rrnn,1,50,10,2.2103962543041997,0.003563,0.003563
rrnn,1,50,10,1.9913309317709875,0.00349,0.00349
rrnn,1,50,15,1.5011559629590723,0.006813,0.006812
rrnn,1,50,15,2.7294686804179156,0.006995,0.006994
rrnn,1,50,15,1.5349680396509047,0.00663,0.00663
rrnn,1,50,15,1.031025156438768,0.007378,0.007378
rrnn,1,50,15,1.9985334982339475,0.00743,0.007429
rrnn,1,50,15,2.238085097087336,0.008306,0.008308
rrnn,1,50,15,1.4523489593554075,0.00767,0.00767
rrnn,1,50,15,1.9612937566573776,0.00688,0.00688
rrnn,1,50,15,1.8380470438704417,0.006562,0.006562
rrnn,1,50,15,1.8436531074078264,0.006961,0.006961
rrnn,1,50,20,2.1463311891354477,0.012434,0.012427
rrnn,1,50,20,1.9451981987074234,0.010658,0.010658
rrnn,1,50,20,1.9713997608535228,0.011076,0.011076
rrnn,1,50,20,1.7425459595801298,0.01236,0.012359
rrnn,1,50,20,1.9407830498332226,0.011963,0.011963
rrnn,1,50,20,1.9561141784468956,0.012041,0.012042
rrnn,1,50,20,2.109137769133671,0.010505,0.010505
rrnn,1,50,20,2.0294141169830837,0.012483,0.012482
